id,lat,lon,n_trigger_events,lambda,trigger_probability,expected_loss,premium
px_000000,35.05,6.05,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000001,35.05,6.15,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000002,35.05,6.25,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000003,35.05,6.35,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000004,35.05,6.45,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000005,35.05,6.55,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000006,35.05,6.65,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000007,35.05,6.75,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000008,35.05,6.85,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000009,35.05,6.95,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000010,35.05,7.05,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000011,35.05,7.15,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000012,35.05,7.25,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000013,35.05,7.35,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000014,35.05,7.45,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000015,35.05,7.55,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000016,35.05,7.65,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000017,35.05,7.75,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000018,35.05,7.85,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000019,35.05,7.95,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000020,35.05,8.05,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000021,35.05,8.15,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000022,35.05,8.25,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000023,35.05,8.35,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000024,35.05,8.45,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000025,35.05,8.55,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000026,35.05,8.65,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000027,35.05,8.75,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000028,35.05,8.85,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000029,35.05,8.95,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000030,35.05,9.05,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000031,35.05,9.15,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000032,35.05,9.25,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000033,35.05,9.35,1,0.03333333333333333,0.0327838995179941,32.7838995179941,39.34067942159292
px_000034,35.05,9.45,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000035,35.05,9.55,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000036,35.05,9.65,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000037,35.05,9.75,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
px_000038,35.05,9.85,2,0.06666666666666667,0.06449301496838222,64.49301496838223,77.39161796205867
