id,lat,lon,n_trigger_events,lambda,trigger_probability,expected_loss,premium
px_000000,44.05,7.05,0,0.0,0.0,0.0,0.0
px_000001,44.05,7.15,0,0.0,0.0,0.0,0.0
px_000002,44.05,7.25,0,0.0,0.0,0.0,0.0
px_000003,44.05,7.35,0,0.0,0.0,0.0,0.0
px_000004,44.05,7.45,0,0.0,0.0,0.0,0.0
px_000005,44.05,7.55,0,0.0,0.0,0.0,0.0
px_000006,44.05,7.65,0,0.0,0.0,0.0,0.0
px_000007,44.05,7.75,0,0.0,0.0,0.0,0.0
px_000008,44.05,7.85,0,0.0,0.0,0.0,0.0
px_000009,44.05,7.95,0,0.0,0.0,0.0,0.0
px_000010,44.05,8.05,0,0.0,0.0,0.0,0.0
px_000011,44.05,8.15,0,0.0,0.0,0.0,0.0
px_000012,44.05,8.25,0,0.0,0.0,0.0,0.0
px_000013,44.05,8.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000014,44.05,8.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000015,44.05,8.55,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000016,44.05,8.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000017,44.05,8.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000018,44.05,8.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000019,44.05,8.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000020,44.05,9.05,0,0.0,0.0,0.0,0.0
px_000021,44.05,9.15,0,0.0,0.0,0.0,0.0
px_000022,44.05,9.25,0,0.0,0.0,0.0,0.0
px_000023,44.05,9.35,0,0.0,0.0,0.0,0.0
px_000024,44.05,9.45,0,0.0,0.0,0.0,0.0
px_000025,44.05,9.55,0,0.0,0.0,0.0,0.0
px_000026,44.05,9.65,0,0.0,0.0,0.0,0.0
px_000027,44.05,9.75,0,0.0,0.0,0.0,0.0
px_000028,44.05,9.85,0,0.0,0.0,0.0,0.0
px_000029,44.05,9.95,0,0.0,0.0,0.0,0.0
px_000030,44.05,10.05,0,0.0,0.0,0.0,0.0
px_000031,44.05,10.15,0,0.0,0.0,0.0,0.0
px_000032,44.05,10.25,0,0.0,0.0,0.0,0.0
px_000033,44.05,10.35,0,0.0,0.0,0.0,0.0
px_000034,44.05,10.45,0,0.0,0.0,0.0,0.0
px_000035,44.05,10.55,0,0.0,0.0,0.0,0.0
px_000036,44.05,10.65,0,0.0,0.0,0.0,0.0
px_000037,44.05,10.75,0,0.0,0.0,0.0,0.0
px_000038,44.05,10.85,0,0.0,0.0,0.0,0.0
px_000039,44.05,10.95,0,0.0,0.0,0.0,0.0
px_000040,44.05,11.05,0,0.0,0.0,0.0,0.0
px_000041,44.05,11.15,0,0.0,0.0,0.0,0.0
px_000042,44.05,11.25,0,0.0,0.0,0.0,0.0
px_000043,44.05,11.35,0,0.0,0.0,0.0,0.0
px_000044,44.05,11.45,0,0.0,0.0,0.0,0.0
px_000045,44.05,11.55,0,0.0,0.0,0.0,0.0
px_000046,44.05,11.65,0,0.0,0.0,0.0,0.0
px_000047,44.05,11.75,0,0.0,0.0,0.0,0.0
px_000048,44.05,11.85,0,0.0,0.0,0.0,0.0
px_000049,44.05,11.95,0,0.0,0.0,0.0,0.0
px_000050,44.05,12.05,0,0.0,0.0,0.0,0.0
px_000051,44.05,12.15,0,0.0,0.0,0.0,0.0
px_000052,44.05,12.25,0,0.0,0.0,0.0,0.0
px_000053,44.05,12.35,0,0.0,0.0,0.0,0.0
px_000054,44.05,12.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000055,44.05,12.55,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000056,44.05,12.65,0,0.0,0.0,0.0,0.0
px_000057,44.05,12.75,0,0.0,0.0,0.0,0.0
px_000058,44.05,12.85,0,0.0,0.0,0.0,0.0
px_000059,44.05,12.95,0,0.0,0.0,0.0,0.0
px_000060,44.15,7.05,0,0.0,0.0,0.0,0.0
px_000061,44.15,7.15,0,0.0,0.0,0.0,0.0
px_000062,44.15,7.25,0,0.0,0.0,0.0,0.0
px_000063,44.15,7.35,0,0.0,0.0,0.0,0.0
px_000064,44.15,7.45,0,0.0,0.0,0.0,0.0
px_000065,44.15,7.55,0,0.0,0.0,0.0,0.0
px_000066,44.15,7.65,0,0.0,0.0,0.0,0.0
px_000067,44.15,7.75,0,0.0,0.0,0.0,0.0
px_000068,44.15,7.85,0,0.0,0.0,0.0,0.0
px_000069,44.15,7.95,0,0.0,0.0,0.0,0.0
px_000070,44.15,8.05,0,0.0,0.0,0.0,0.0
px_000071,44.15,8.15,0,0.0,0.0,0.0,0.0
px_000072,44.15,8.25,0,0.0,0.0,0.0,0.0
px_000073,44.15,8.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000074,44.15,8.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000075,44.15,8.55,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000076,44.15,8.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000077,44.15,8.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000078,44.15,8.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000079,44.15,8.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000080,44.15,9.05,0,0.0,0.0,0.0,0.0
px_000081,44.15,9.15,0,0.0,0.0,0.0,0.0
px_000082,44.15,9.25,0,0.0,0.0,0.0,0.0
px_000083,44.15,9.35,0,0.0,0.0,0.0,0.0
px_000084,44.15,9.45,0,0.0,0.0,0.0,0.0
px_000085,44.15,9.55,0,0.0,0.0,0.0,0.0
px_000086,44.15,9.65,0,0.0,0.0,0.0,0.0
px_000087,44.15,9.75,0,0.0,0.0,0.0,0.0
px_000088,44.15,9.85,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000089,44.15,9.95,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000090,44.15,10.05,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000091,44.15,10.15,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000092,44.15,10.25,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000093,44.15,10.35,0,0.0,0.0,0.0,0.0
px_000094,44.15,10.45,0,0.0,0.0,0.0,0.0
px_000095,44.15,10.55,0,0.0,0.0,0.0,0.0
px_000096,44.15,10.65,0,0.0,0.0,0.0,0.0
px_000097,44.15,10.75,0,0.0,0.0,0.0,0.0
px_000098,44.15,10.85,0,0.0,0.0,0.0,0.0
px_000099,44.15,10.95,0,0.0,0.0,0.0,0.0
px_000100,44.15,11.05,0,0.0,0.0,0.0,0.0
px_000101,44.15,11.15,0,0.0,0.0,0.0,0.0
px_000102,44.15,11.25,0,0.0,0.0,0.0,0.0
px_000103,44.15,11.35,0,0.0,0.0,0.0,0.0
px_000104,44.15,11.45,0,0.0,0.0,0.0,0.0
px_000105,44.15,11.55,0,0.0,0.0,0.0,0.0
px_000106,44.15,11.65,0,0.0,0.0,0.0,0.0
px_000107,44.15,11.75,0,0.0,0.0,0.0,0.0
px_000108,44.15,11.85,0,0.0,0.0,0.0,0.0
px_000109,44.15,11.95,0,0.0,0.0,0.0,0.0
px_000110,44.15,12.05,0,0.0,0.0,0.0,0.0
px_000111,44.15,12.15,0,0.0,0.0,0.0,0.0
px_000112,44.15,12.25,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000113,44.15,12.35,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000114,44.15,12.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000115,44.15,12.55,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000116,44.15,12.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000117,44.15,12.75,2,0.1,0.09516258196404048,475.81290982020244,594.7661372752531
px_000118,44.15,12.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000119,44.15,12.95,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000120,44.25,7.05,0,0.0,0.0,0.0,0.0
px_000121,44.25,7.15,0,0.0,0.0,0.0,0.0
px_000122,44.25,7.25,0,0.0,0.0,0.0,0.0
px_000123,44.25,7.35,0,0.0,0.0,0.0,0.0
px_000124,44.25,7.45,0,0.0,0.0,0.0,0.0
px_000125,44.25,7.55,0,0.0,0.0,0.0,0.0
px_000126,44.25,7.65,0,0.0,0.0,0.0,0.0
px_000127,44.25,7.75,0,0.0,0.0,0.0,0.0
px_000128,44.25,7.85,0,0.0,0.0,0.0,0.0
px_000129,44.25,7.95,0,0.0,0.0,0.0,0.0
px_000130,44.25,8.05,0,0.0,0.0,0.0,0.0
px_000131,44.25,8.15,0,0.0,0.0,0.0,0.0
px_000132,44.25,8.25,0,0.0,0.0,0.0,0.0
px_000133,44.25,8.35,0,0.0,0.0,0.0,0.0
px_000134,44.25,8.45,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000135,44.25,8.55,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000136,44.25,8.65,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000137,44.25,8.75,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
px_000138,44.25,8.85,1,0.05,0.048770575499285984,243.85287749642993,304.8160968705374
